,Unnamed: 0,SMILES,CAS,Name,Exposure (ng/day),Min Exposure (ng/day),Max Exposure (ng/day),ACE2,Pred_label
72,88,CC(C)c1ccc(OP(=O)(Oc2ccccc2)Oc2ccc(C(C)C)cc2)cc1,55864-07-8,Bis(4-isopropylphenyl) phenyl phosphate,0.000505,0.000169,0.000959,0,0.9355917
73,89,CC(C)c1ccc(OP(=O)(Oc2ccccc2)Oc2ccc(C(C)C)cc2C(C)C)c(C(C)C)c1,2190501-29-0,"Bis(2,4-diisopropylphenyl) phenyl phosphate",0.000272,9.12e-05,0.000516,0,0.93609935
74,90,CC(C)c1ccc(OP(=O)(Oc2ccccc2)Oc2ccccc2)c(C(C)C)c1,,"2,4-Diisopropylphenyl diphenyl phosphate",0.00201,0.000675,0.00382,0,0.9219607
75,91,CC(C)c1ccc(OP(=O)(Oc2ccccc2)Oc2ccccc2)cc1,55864-04-5,4-Isopropylphenyl diphenyl phosphate,0.00376,0.00126,0.00714,0,0.9269781
76,92,CC(C)c1cccc(OP(=O)(Oc2ccccc2)Oc2cccc(C(C)C)c2)c1,69500-30-7,Bis(3-isopropylphenyl) phenyl phosphate,0.00148,0.000498,0.00282,0,0.93115133
77,93,CC(C)c1cccc(OP(=O)(Oc2ccccc2)Oc2ccccc2)c1,69515-46-4,3-Isopropylphenyl diphenyl phosphate,0.00054,0.000181,0.00102,0,0.9118659
78,94,CC(C)c1ccccc1OP(=O)(Oc1ccccc1)Oc1ccccc1,28108-99-8,2-isopropylphenyl diphenyl phosphate,0.00795,0.00267,0.0151,0,0.9004435
79,95,CC(C)c1ccccc1OP(=O)(Oc1ccccc1)Oc1ccccc1C(C)C,101299-37-0,Bis(2-isopropylphenyl) phenyl phosphate,0.00184,0.000618,0.0035,0,0.9318903
80,96,CC(C)CCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC(C)C,26761-40-0,Diisodecyl phthalate,0.562,0.188,1.07,0,0.95773375
81,97,CC(C)CCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCC(C)C,68515-48-0,Diisononyl phthalate,6.39,2.14,12.1,0,0.9596841
82,98,CC(C)CCCCOC(=O)c1ccccc1C(=O)OCCCCC(C)C,71888-89-6,Diisoheptyl phthalate,0.316,0.106,0.6,0,0.9485117
