canonical_smiles,label_ACE2,DataType
CS(=O)(=O)CCOC(=O)C1=C(C(=O)OCCS(C)(=O)=O)CN(Cc2cccc(OC(F)(F)F)c2)C(c2ccc(CN3CCCC3)cc2)=CC(=CCCO)C1,1.0,L1000
C[C@@H]1CN([C@H](C)CO)C(=O)CCCn2cc(nn2)CO[C@@H]1CN(C)Cc1ccc2c(c1)OCCO2,1.0,L1000
CCC1=C[C@@H]2CN(C1)Cc1c([nH]c3ccccc13)[C@@](C(=O)OC)(c1cc3c(cc1OC)N(C)[C@H]1[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@@]4(CC)C=CCN5CC[C@]31[C@@H]54)C2,1.0,L1000
C[C@@H](CO)N1C[C@@H](C)[C@@H](CN(C)C(=O)NC2CCCCC2)OCCCC[C@@H](C)Oc2ccc(NC(=O)C3CCCCC3)cc2C1=O,1.0,L1000
COC1OC(=O)C(CCC2(C)C(C)CCC3(C)C2CC(O)C(O)C32CO2)C1O,1.0,L1000
CC(=O)c1c(C)n(-c2ccc(C)cc2)c2ccc(OC(=O)CN3C(=O)c4ccccc4C3=O)cc12,1.0,L1000
CN=C(N)NCCCC(N)C(=O)O,1.0,L1000
CCCc1c(OCCCOc2ccc(OCC(=O)O)cc2)ccc(CC=O)c1O,1.0,L1000
CCCCSc1nc(=O)c2c([nH]1)CCC2,1.0,L1000
COc1ccc(S(=O)(=O)Nc2ccc3c(c2)[C@@H]2C[C@H](CC(=O)N(C)C)O[C@@H](CO)[C@@H]2O3)cc1,1.0,L1000
O=C1c2ccccc2C(Cc2ccncc2)(Cc2ccncc2)c2ccccc21,1.0,L1000
C=CCNC(=O)C1C2C(=O)O[C@H](c3ccccc3)[C@H](c3ccccc3)N2[C@H](c2ccccc2OCCO)[C@@]12C(=O)Nc1ccc(C#CCC(C(=O)OC)C(=O)OC)cc12,1.0,L1000
COc1cc2c(c(OC)c1OC)-c1ccc(C(=O)O)cc1[C@@H](NC(C)=O)CC2,1.0,L1000
C[C@@H](CO)N1C[C@@H](C)[C@@H](CN(C)Cc2ccccc2F)Oc2ncc(C3=CCCC3)cc2C1=O,1.0,L1000
C[C@]12C[C@H](O)C3C(CC=C4CC(=O)CC[C@@]43C)C1CC[C@]2(O)C(=O)CO,1.0,L1000
O=S(=O)(O)c1cc(S(=O)(=O)O)c2c(N=Nc3ccccc3)c(O)ccc2c1,1.0,Tox
COCC(=O)N1C[C@@H](C)[C@@H](OC)CN(C)C(=O)c2ccc(NS(C)(=O)=O)cc2OC[C@@H]1C,1.0,L1000
CC(=O)Oc1ccccc1C(=O)O,1.0,Tox
O=[N+]([O-])c1ccc2[nH]c(CN=c3[nH]c(N4CCOCC4)nc4c3ncn4-c3ccsc3)nc2c1,1.0,L1000
CC(C)(O)/C=C/C(=O)[C@](C)(O)C1[C@H](O)C[C@@]2(C)[C@@H]3C=CC4C(CC(=O)C(=O)C4(C)C)[C@]3(C)C(=O)C[C@@]12C,1.0,L1000
CC(=O)OCC(CCn1cnc2c[nH]c(=N)nc21)COC(C)=O,1.0,L1000
C1CCC(C(CC2CCCCN2)C2CCCCC2)CC1,1.0,L1000
